id,college,team
631,University of Florida,CLE
632,University of Florida,ORL
633,University of Florida,ORL
634,University of Florida,BOS
635,University of Florida,ORL
636,University of Florida,BOS
637,University of Florida,TOT
638,University of Florida,GSW
639,University of Florida,ORL
640,University of Florida,GSW
641,University of Florida,ORL
642,Seton Hall University,WSB
643,Seton Hall University,SAS
644,College of Charleston,LAL
645,College of Charleston,HOU
646,College of Charleston,LAL
647,University of Kentucky,MEM
648,University of Arkansas,PHI
649,University of Arkansas,ATL
650,University of Arkansas,NYK
651,University of Arkansas,PHO
652,University of Arkansas,ATL
653,University of Arkansas,MIL
654,University of Arkansas,MIN
655,University of Arkansas,MIL
656,University of Arkansas,CHI
657,University of Arkansas,PHO
658,University of Arkansas,TOT
659,University of Arkansas,PHO
660,University of Arkansas,ATL
661,University of Arkansas,PHO
662,St. John's University,MLH
663,St. John's University,SYR
664,St. Bonaventure University,BRK
665,St. Bonaventure University,ORL
666,St. Bonaventure University,ORL
667,St. Bonaventure University,ORL
668,St. Bonaventure University,TOT
669,St. Bonaventure University,WAS
670,St. Bonaventure University,ORL
671,University of Louisiana at Lafayette,PHI
672,University of Louisiana at Lafayette,PHI
673,University of Louisiana at Lafayette,PHI
674,University of Louisiana at Lafayette,PHI
675,University of Louisiana at Lafayette,PHI
676,University of Louisiana at Lafayette,PHI
677,University of Louisiana at Lafayette,PHI
678,University of Louisiana at Lafayette,PHI
679,University of Kansas,MIN
680,University of Kansas,MIN
681,University of Kansas,MIN
682,College of William & Mary,ROC
683,College of William & Mary,BOS
684,University of Portland,PHW
685,University of Portland,PHW
686,University of Portland,PHW
687,University of Portland,CHP
688,Loyola College in Maryland,BLB
689,Lebanon Valley College,ATL
690,Syracuse University,NYK
691,Brigham Young University,UTA
692,Brigham Young University,UTA
693,Niagara University,NOJ
694,University of Memphis,ORL
695,University of Memphis,MIA
696,University of Memphis,NYK
697,University of Memphis,TOT
698,University of Memphis,PHO
699,University of Memphis,PHO
700,University of Memphis,NYK
701,University of Memphis,NYK
702,University of Memphis,ORL
703,University of Memphis,ORL
704,University of Memphis,PHO
705,University of Memphis,ORL
706,University of Memphis,PHO
707,University of Memphis,PHO
708,University of Memphis,ORL
709,University of Memphis,ORL
710,University of Mississippi,SEA
711,University of Mississippi,SEA
712,University of Mississippi,SEA
713,University of Mississippi,GSW
714,University of North Carolina,WAS
715,University of North Carolina,GSW
716,University of North Carolina,WAS
717,University of North Carolina,CLE
718,University of North Carolina,LAL
719,University of North Carolina,GSW
720,University of North Carolina,LAC
721,University of North Carolina,GSW
722,University of North Carolina,CLE
723,University of North Carolina,WAS
724,University of North Carolina,DAL
725,University of North Carolina,WAS
726,University of North Carolina,TOT
727,University of North Carolina,WAS
728,University of North Carolina,WAS
729,University of North Carolina,GSW
730,University of North Carolina,CLE
731,University of North Carolina,GSW
732,Seton Hall University,ORL
733,Seton Hall University,UTA
734,Seton Hall University,LAC
735,Seton Hall University,MIL
736,Seton Hall University,TOT
737,Seton Hall University,MIL
738,Seton Hall University,ORL
739,Seton Hall University,VAN
740,"University of Nevada, Las Vegas",TOR
741,"University of Nevada, Las Vegas",CLE
742,"University of Nevada, Las Vegas",BRK
743,"University of Nevada, Las Vegas",MIN
744,Saint Louis University,NYK
745,Saint Louis University,SAC
746,Saint Louis University,SAC
747,Saint Louis University,SAC
748,Saint Louis University,ORL
749,Saint Louis University,NYK
750,University of Oklahoma,ORL
751,University of Oklahoma,ORL
752,University of Oklahoma,ORL
753,University of Oklahoma,SAS
754,University of Oklahoma,NYK
755,University of Oklahoma,ORL
756,University of Oklahoma,HOU
757,University of Oklahoma,ORL
758,Stanford University,TOT
759,Stanford University,NOP
760,Stanford University,ORL
761,Stanford University,LAL
762,University of Hawaii,NYK
763,University of Hawaii,TOT
764,University of Hawaii,DEN
765,University of Hawaii,MIA
766,University of Hawaii,MIN
767,University of Hawaii,DEN
768,University of Hawaii,TOR
769,University of Hawaii,SAS
770,University of Hawaii,MIA
771,University of Hawaii,MIA
772,University of Hawaii,MIA
773,University of Hawaii,DEN
774,University of Hawaii,DEN
775,University of Hawaii,MIN
776,University of Hawaii,DEN
777,University of Arizona,POR
778,University of Arizona,TOT
779,University of Arizona,DEN
780,University of Arizona,MIL
781,University of Arizona,DEN
782,University of Arizona,ORL
783,University of Kentucky,NOP
784,University of Kentucky,NOP
785,University of Kentucky,NOP
786,University of Kentucky,NOP
787,University of Kentucky,NOH
788,Pepperdine University,CHH
789,Pepperdine University,SAC
790,Pepperdine University,IND
791,University of Houston,SAS
792,University of Houston,DEN
793,University of Houston,TOT
794,University of Houston,MIL
795,University of Houston,CHH
796,University of Houston,DEN
797,University of Houston,LAC
798,University of Houston,TOT
799,University of Houston,TOT
800,University of Houston,DET
801,University of Houston,CHH
802,University of Houston,TOT
803,University of Houston,MIN
804,University of Houston,DEN
805,University of Houston,NJN
806,University of Houston,WAS
807,North Carolina State University,ATL
808,College of Charleston,ATL
809,College of Charleston,IND
810,College of Charleston,ORL
811,College of Charleston,ORL
812,College of Charleston,SAC
813,College of Charleston,SAC
814,College of Charleston,TOT
815,College of Charleston,NJN
816,College of Charleston,TOT
817,College of Charleston,CLE
818,College of Charleston,ATL
819,College of Charleston,ATL
820,College of Charleston,IND
821,College of Charleston,ATL
822,College of Charleston,TOT
823,College of Charleston,DAL
824,College of Charleston,ORL
825,College of Charleston,TOT
826,College of Charleston,IND
827,College of Charleston,ATL
828,College of Charleston,NJN
829,"University of Nevada, Las Vegas",TOT
830,"University of Nevada, Las Vegas",DAL
831,"University of Nevada, Las Vegas",CHI
832,"University of Nevada, Las Vegas",DAL
833,"University of Nevada, Las Vegas",SAS
834,"University of Nevada, Las Vegas",TOT
835,"University of Nevada, Las Vegas",WSB
836,Tennessee State University,MIL
837,Tennessee State University,NYK
838,Tennessee State University,NYK
839,Tennessee State University,NYK
840,Tennessee State University,MIA
841,Tennessee State University,CHH
842,Tennessee State University,CHH
843,Tennessee State University,CHH
844,Tennessee State University,NYK
845,Tennessee State University,NYK
846,Tennessee State University,DEN
847,Tennessee State University,NJN
848,Tennessee State University,MIL
849,Michigan State University,HOU
850,Michigan State University,ATL
851,Michigan State University,ATL
852,Michigan State University,LAL
853,Michigan State University,PHI
854,Michigan State University,TOT
855,Michigan State University,LAL
856,Michigan State University,ATL
857,Michigan State University,HOU
858,Michigan State University,ATL
859,Michigan State University,HOU
860,Georgia Institute of Technology,NJN
861,Georgia Institute of Technology,OKC
862,Georgia Institute of Technology,DAL
863,Georgia Institute of Technology,ATL
864,Georgia Institute of Technology,TOT
865,Georgia Institute of Technology,NOP
866,Georgia Institute of Technology,CHI
867,Georgia Institute of Technology,OKC
868,Georgia Institute of Technology,GSW
869,Georgia Institute of Technology,TOT
870,Georgia Institute of Technology,NJN
871,Georgia Institute of Technology,OKC
872,Georgia Institute of Technology,GSW
873,Bradley University,TOR
874,Bradley University,CLE
875,Bradley University,ORL
876,Bradley University,TOR
877,Bradley University,CLE
878,Bradley University,TOR
879,Bradley University,PHI
880,Bradley University,CLE
881,Bradley University,PHI
882,University of Missouri,MIN
883,University of Missouri,LAL
884,University of Missouri,MIN
885,University of Missouri,VAN
886,University of Missouri,VAN
887,University of Missouri,LAL
888,University of Missouri,WAS
889,University of Missouri,LAL
890,University of Missouri,LAL
891,University of Missouri,MIN
892,University of Missouri,MIN
893,University of Missouri,MIN
894,University of Missouri,SAC
895,University of Missouri,MIN
896,University of Missouri,TOT
897,McNeese State University,MIL
898,Louisiana State University,DEN
899,Louisiana State University,GSW
900,Louisiana State University,DEN
901,Louisiana State University,TOT
902,Louisiana State University,NYK
903,Louisiana State University,MIN
904,Louisiana State University,MIN
905,Louisiana State University,GSW
906,University of Florida,NYK
907,University of Florida,CHI
908,University of Florida,MEM
909,University of Florida,GSW
910,University of Florida,TOT
911,Oral Roberts University,DEN
912,Oral Roberts University,WSB
913,Oral Roberts University,DEN
914,Oral Roberts University,DEN
915,Oral Roberts University,DEN
916,University of Oregon,MIA
917,Creighton University,GSW
918,Creighton University,MIN
919,Creighton University,TOT
920,Creighton University,DET
921,Creighton University,MIN
922,Creighton University,SAC
923,Creighton University,POR
924,Creighton University,TOT
925,Creighton University,PHO
926,Creighton University,DET
927,Creighton University,ATL
928,Creighton University,SAS
929,Creighton University,CHA
930,Wake Forest University,WSB
931,Wichita State University,UTA
932,Wichita State University,ATL
933,Wichita State University,UTA
934,Wichita State University,SAC
935,Wichita State University,ATL
936,Wichita State University,HOU
937,Wichita State University,ATL
938,Wichita State University,UTA
939,Wichita State University,SAC
940,Wichita State University,ATL
941,Wichita State University,TOT
942,Wichita State University,UTA
943,Wichita State University,ATL
944,Wichita State University,ATL
945,Wichita State University,SAS
946,Wichita State University,SAS
947,Wichita State University,VAN
948,Wichita State University,SAS
949,University of Kentucky,BOS
950,University of Kentucky,TOT
951,University of Kentucky,MIA
952,University of Kentucky,MIA
953,University of Kentucky,BOS
954,University of Kentucky,BOS
955,University of Kentucky,BOS
956,University of Kentucky,BOS
957,University of Kentucky,DAL
958,University of Kentucky,BOS
959,University of Kentucky,BOS
960,University of Kentucky,ATL
961,University of Kentucky,BOS
962,University of Kentucky,MIN
963,Texas A&M University,TOT
964,Texas A&M University,NJN
965,Texas A&M University,DAL
966,Texas A&M University,DAL
967,Texas A&M University,SAC
968,Texas A&M University,NJN
969,Texas A&M University,NJN
970,Texas A&M University,TOR
971,University of Memphis,OKC
972,University of Memphis,MEM
973,University of Memphis,MEM
974,Bowling Green State University,WAS
975,Bowling Green State University,PHI
976,Bowling Green State University,NOH
977,Bowling Green State University,WAS
978,Bowling Green State University,SAS
979,Bowling Green State University,VAN
980,Bowling Green State University,SEA
981,Bowling Green State University,WAS
982,Bowling Green State University,POR
983,Bowling Green State University,SAS
984,Bowling Green State University,WAS
985,Bowling Green State University,SAS
986,Bowling Green State University,SAS
987,Bowling Green State University,TOT
988,Bowling Green State University,SEA
989,University of Texas at El Paso,TOR
990,University of Texas at El Paso,IND
991,University of Texas at El Paso,TOT
992,University of Texas at El Paso,IND
993,University of Texas at El Paso,TOR
994,University of Texas at El Paso,IND
995,University of Texas at El Paso,IND
996,University of Texas at El Paso,IND
997,University of Texas at El Paso,TOR
998,University of Texas at El Paso,TOR
999,University of Texas at El Paso,TOT
1000,University of Texas at El Paso,NYK
1001,University of Texas at El Paso,TOR
1002,University of Texas at El Paso,TOR
1003,University of Texas at El Paso,CHI
1004,University of Texas at El Paso,CHI
1005,University of Texas at El Paso,IND
1006,Pfeiffer University,POR
1007,Pfeiffer University,SEA
1008,Pfeiffer University,POR
1009,Pfeiffer University,VAN
1010,Pfeiffer University,LAL
